held_out,accuracy,kappa
1,0.5652,0.3495
2,0.6818000000000001,0.5209
3,0.2464,-0.1265
4,0.4853,0.2295
5,0.2687,-0.0936
6,0.3235,-0.0103
7,0.8088,0.7133
8,0.6119,0.4164
9,0.3433,0.0111
10,0.6269,0.4347
11,0.4118,0.1166
12,0.4559,0.1813
13,0.7206,0.5811
14,0.4545,0.1835
15,0.7940999999999999,0.6912
16,0.48479999999999995,0.2265
17,0.39390000000000003,0.0893
18,0.25,-0.1256
19,0.5440999999999999,0.3169
20,0.4925,0.2386
21,0.5,0.2445
22,0.4203,0.1293
23,0.6716,0.5077
24,0.3235,-0.0159
25,0.5,0.2505
26,0.6812,0.5217
27,0.4706,0.2062
28,0.3433,0.014
29,0.8234999999999999,0.7359
30,0.48479999999999995,0.2312
31,0.7313,0.5972
32,0.6324000000000001,0.4484
33,0.6029,0.4033
34,0.7646999999999999,0.6488
35,0.5455,0.3187
36,0.3676,0.0516
37,0.3235,-0.0133
38,0.3284,-0.0087
39,0.4179,0.127
40,0.3824,0.073
41,0.5821000000000001,0.374
42,0.7273000000000001,0.5899
43,0.6866,0.5299
44,0.47759999999999997,0.2165
45,0.5,0.2445
46,0.4559,0.1847
47,0.3582,0.0355
48,0.6364,0.4517
49,0.6377,0.4584
50,0.4242,0.1376
51,0.4783,0.2137
52,0.7353000000000001,0.6035
53,0.3433,0.0117
54,0.4925,0.2389
55,0.7463,0.6187
56,0.6716,0.506
57,0.4853,0.228
58,0.44780000000000003,0.1695
59,0.3676,0.0549
60,0.6232,0.435
61,0.7576,0.6359
62,0.8656999999999999,0.7984
63,0.2059,-0.1938
64,0.6175999999999999,0.4275
65,0.5735,0.3585
66,0.3529,0.0292
67,0.4328,0.1508
68,0.4412,0.1656
69,0.3529,0.0317
70,0.7164,0.5741
71,0.7761,0.6644
72,0.8676,0.8014
73,0.7313,0.5967
74,0.2687,-0.1046
75,0.6667000000000001,0.5014
76,0.3134,-0.0318
77,0.4118,0.1234
78,0.3971,0.0963
79,0.4058,0.1087
80,0.5758,0.3639
81,0.5146999999999999,0.2719
82,0.5758,0.3623
83,0.6175999999999999,0.4271
84,0.4706,0.207
85,0.8059999999999999,0.7089
86,0.6522,0.4784
87,0.37310000000000004,0.0595
88,0.3529,0.0289
89,0.5909,0.3819
90,0.4559,0.1836
91,0.4265,0.1404
92,0.5,0.2543
93,0.7761,0.663
94,0.6470999999999999,0.4715
95,0.4706,0.2047
96,0.4058,0.1118
97,0.3284,-0.0084
98,0.4493,0.1783
99,0.3768,0.0643
100,0.5,0.25
101,0.4545,0.1796
102,0.7164,0.5755
103,0.4706,0.207
104,0.4242,0.134
105,0.5909,0.3868
106,0.5075,0.259
107,0.3971,0.0963
108,0.5735,0.3602
109,0.3134,-0.0301
